FILENAME|title|author/name|published|id|updated|link[@type='application/pdf']/@href|link[@type='application/epub+zip']/@href|Number of subjects|Language|
archive_dot_org_books.xml|The Kama sutra of Vatsyayana|Vatsyayana Kama Shastra Society of London and Benares|1883-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:kamasutraofvatsy00vatsuoft|2008-01-23T13:44:27Z|https://bookserver.archive.org/acquire/kamasutraofvatsy00vatsuoft.pdf|https://bookserver.archive.org/acquire/kamasutraofvatsy00vatsuoft.epub|1|en|
archive_dot_org_books.xml|A dictionary, Hindustani and English, and English and Hindustani, the latter being entirely new|Shakespear, John, 1775-1858|1849-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:dictionaryhindus00shak|2008-10-15T14:47:57Z|https://bookserver.archive.org/acquire/dictionaryhindus00shak.pdf|https://bookserver.archive.org/acquire/dictionaryhindus00shak.epub|2|en|
archive_dot_org_books.xml|The elements of coordinate geometry|Loney, S. L. (Sidney Luxton), 1860-1939|1895-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:elementsofcoordi00lone|2010-05-13T19:44:24Z|https://bookserver.archive.org/acquire/elementsofcoordi00lone.pdf|https://bookserver.archive.org/acquire/elementsofcoordi00lone.epub|2|en|
archive_dot_org_books.xml|Guide naturiste mondial = FKK Weltführer = World naturist guide|International Naturist Federation|1995-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:guidenaturistemo00inte|2010-06-16T21:07:11Z|https://bookserver.archive.org/acquire/guidenaturistemo00inte.pdf|https://bookserver.archive.org/acquire/guidenaturistemo00inte.epub|1|de fr en|
archive_dot_org_books.xml|A history of architecture on the comparative method|Fletcher, Banister, 1833-1899 Fletcher, Banister, Sir, 1866-1953|1905-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:historyofarchite00fletuoft|2007-03-02T11:13:14Z|https://bookserver.archive.org/acquire/historyofarchite00fletuoft.pdf|https://bookserver.archive.org/acquire/historyofarchite00fletuoft.epub|1|en|
archive_dot_org_books.xml|A handbook of ornament|Meyer, Franz Sales, 1849-|1920-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:handbookoforname00meyeuoft|2007-03-13T12:46:02Z|https://bookserver.archive.org/acquire/handbookoforname00meyeuoft.pdf|https://bookserver.archive.org/acquire/handbookoforname00meyeuoft.epub|2|en|
archive_dot_org_books.xml|The first book of plants|Dickinson, Alice|1953-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:firstbookofplant00dickrich|2007-07-03T21:05:16Z|https://bookserver.archive.org/acquire/firstbookofplant00dickrich.pdf|https://bookserver.archive.org/acquire/firstbookofplant00dickrich.epub|2|en|
archive_dot_org_books.xml|East of the sun and west of the moon : old tales from the North|Asbjørnsen, Peter Christen, 1812-1885 Moe, Jørgen Engebretsen, 1813-1882 Dasent, George Webbe, Sir, 1817-1896 Nielsen, Kay Rasmus, 1886-1957|1922-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:eastofsunwestofm00asbj|2007-06-22T15:06:56Z|https://bookserver.archive.org/acquire/eastofsunwestofm00asbj.pdf|https://bookserver.archive.org/acquire/eastofsunwestofm00asbj.epub|2|en|
archive_dot_org_books.xml|Pitman's shorthand instructor : a complete exposition of Sir Isaac Pitman's system of shorthand|Pitman, Isaac, Sir, 1813-1897|1920-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:pitmansshorthand00pitm|2015-09-09T19:47:00Z|https://bookserver.archive.org/acquire/pitmansshorthand00pitm.pdf|https://bookserver.archive.org/acquire/pitmansshorthand00pitm.epub|1|en|
archive_dot_org_books.xml|Creative Illustration|Loomis, Andrew|1947-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:andrew-loomis-creative-illustration|2011-12-08T05:48:51Z|https://bookserver.archive.org/acquire/andrew-loomis-creative-illustration.pdf|https://bookserver.archive.org/acquire/andrew-loomis-creative-illustration.epub|2|English|
archive_dot_org_books.xml|A text-book of physiology for medical students and physicians|Howell, William Henry, 1860-1945|1921-01-01T00:00:00Z|urn:x-internet-archive:bookserver:item:textbookofphysio00howe|2009-06-26T15:37:11Z|https://bookserver.archive.org/acquire/textbookofphysio00howe.pdf|https://bookserver.archive.org/acquire/textbookofphysio00howe.epub|1|en|
